"entry_id";"resource_id";"resource_name";"HAC_resource_name";"group_id";"cluster_id";"node_id";"event_date";"current_state";"critical_factor";"failure_repetition";"redundancy_factor";"aggeregated_failure_count";"reinitialization_factor";"dependency_type";"dependency_levels_up";"dependency_levels_down"
14;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
15;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
16;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
17;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
18;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
19;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"true";"low";"true";"local";"low";"low"
20;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
21;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
22;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"2021-03-07 00:30:24";"offline";"false";"low";"false";"low";"true";"global";"low";"low"
23;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"2021-03-07 00:30:24";"offline";"true";"low";"false";"low";"false";"shared";"low";"low"
24;"C1G4A1B1";"backup lock server service";"rsc_DEV_ERS10";"C1G4A1";"cluster1";1;"2021-03-07 00:30:25";"offline";"false";"low";"false";"low";"true";"local";"low";"low"
25;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 00:56:22";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
26;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 01:16:41";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
27;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"2021-03-07 01:24:57";"offline";"true";"low";"false";"low";"false";"global";"low";"low"
28;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 01:24:57";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
29;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 01:24:57";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
30;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 01:24:57";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
31;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 01:24:57";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
32;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 01:24:57";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
33;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 01:24:58";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
34;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 01:24:58";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
35;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 01:24:58";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
36;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 01:24:58";"offline";"true";"low";"true";"low";"true";"local";"low";"low"
37;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 01:24:58";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
38;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 01:24:58";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
39;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"2021-03-07 01:24:58";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
40;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"2021-03-07 01:24:58";"offline";"false";"low";"false";"low";"true";"global";"low";"low"
42;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"2021-03-07 01:24:58";"offline";"true";"low";"false";"low";"false";"shared";"low";"low"
43;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"2021-03-07 05:42:05";"offline";"true";"low";"false";"low";"false";"global";"low";"low"
44;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 05:42:06";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
45;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 05:42:06";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
